Site,Plot,Soil Depth (cm),Year,soil pH,soil-water pH,Buffer pH,P (kg/ha),K (kg/ha),Ca (kg/ha),Mg (kg/ha),Zn (kg/ha),Treatment,Rotation,Cash Crop
UK,UK106,0 to 10,0,6.08,6.87,7.02,586.20455,365.3971,6209.509,512.22845,2.69004,CV,CV1,Corn
UK,UK106,10 to 20,0,5.89,6.7,6.84,567.1501,326.16735,6279.0017,468.5153,3.250465,CV,CV1,Corn
UK,UK201,0 to 10,0,6.07,6.86,7.01,549.2165,322.8048,6718.3749,464.0319,13.67437,HG,HG2,Corn
UK,UK201,10 to 20,0,6.29,7.06,7.05,559.30415,384.45155,7064.71755,512.22845,15.355645,HG,HG2,Corn
UK,UK202,0 to 10,0,5.94,6.75,6.99,568.27095,365.3971,6410.14115,517.8327,4.819655,CV,CV1,Corn
UK,UK202,10 to 20,0,5.63,6.46,6.74,580.6003,309.3546,6003.2726,438.25235,5.15591,CV,CV1,Corn
UK,UK203,0 to 10,0,6.13,6.92,7.04,597.41305,338.4967,6609.65245,485.32805,17.48526,HG,HG1,Grain Hemp
UK,UK203,10 to 20,0,5.92,6.73,6.85,610.86325,292.54185,6384.3616,449.46085,14.907305,HG,HG1,Grain Hemp
UK,UK204,0 to 10,0,6.12,6.91,7.03,567.1501,346.34265,6259.94725,503.26165,30.150865,CV,CV2,Soybean
UK,UK204,10 to 20,0,5.79,6.61,6.83,595.17135,292.54185,5724.18095,419.1979,32.616735,CV,CV2,Soybean
UK,UK205,0 to 10,0,5.96,6.76,6.89,544.7331,300.3878,6910.04025,467.39445,4.819655,HF,HF2,Soybean
UK,UK205,10 to 20,0,5.75,6.57,6.87,550.33735,272.36655,6785.6259,392.2975,3.474635,HF,HF2,Soybean
UK,UK206,0 to 10,0,5.97,6.77,6.9,546.9748,309.3546,6166.9167,469.63615,11.88101,HF,HF1,Fiber
UK,UK206,10 to 20,0,5.73,6.55,6.83,589.5671,295.9044,6194.93795,411.35195,8.29429,HF,HF1,Fiber
UK,UK301,0 to 10,0,5.98,6.78,6.89,549.2165,322.8048,6295.81445,442.73575,2.69004,CV,CV1,Corn
UK,UK301,10 to 20,0,5.66,6.49,6.81,566.02925,265.64145,6062.67765,384.45155,2.129615,CV,CV1,Corn
UK,UK302,0 to 10,0,5.99,6.79,6.9,551.4582,321.68395,6366.428,427.04385,6.7251,HG,HG1,Grain Hemp
UK,UK302,10 to 20,0,5.61,6.45,6.8,614.2258,220.80745,5498.8901,314.95885,5.940505,HG,HG1,Grain Hemp
UK,UK303,0 to 10,0,6.08,6.87,6.95,508.8659,276.84995,6216.2341,424.80215,2.353785,HF,HF2,Soybean
UK,UK303,10 to 20,0,5.78,6.6,6.89,522.3161,236.49935,5752.2022,354.1886,1.905445,HF,HF2,Soybean
UK,UK304,0 to 10,0,5.95,6.75,6.86,576.1169,332.89245,6477.39215,469.63615,2.46587,HG,HG2,Corn
UK,UK304,10 to 20,0,5.62,6.45,6.78,600.7756,282.4542,5372.23405,356.4303,1.905445,HG,HG2,Corn
UK,UK305,0 to 10,0,5.62,6.45,6.71,596.2922,330.65075,6134.41205,394.5392,6.164675,CV,CV2,Soybean
UK,UK305,10 to 20,0,5.92,6.73,6.91,555.9416,294.78355,5742.11455,419.1979,6.164675,CV,CV2,Soybean
UK,UK306,0 to 10,0,5.87,6.68,6.82,558.1833,281.33335,6405.65775,431.52725,3.026295,HF,HF1,Fiber
UK,UK306,10 to 20,0,5.61,6.45,6.77,592.92965,257.7955,5914.72545,376.6056,2.129615,HF,HF1,Fiber
UK,UK401,0 to 10,0,6.01,6.81,6.88,548.09565,419.1979,6128.8078,496.53655,3.250465,CV,CV2,Soybean
UK,UK401,10 to 20,0,5.78,6.6,6.88,542.4914,327.2882,5672.62185,400.14345,2.802125,CV,CV2,Soybean
UK,UK402,0 to 10,0,5.96,6.76,6.9,540.2497,468.5153,6205.0256,476.36125,6.388845,HG,HG2,Corn
UK,UK402,10 to 20,0,6.22,7,6.98,514.47015,371.00135,6684.7494,412.4728,6.27676,HG,HG2,Corn
UK,UK403,0 to 10,0,6.16,6.95,6.96,563.78755,329.5299,6138.89545,450.5817,2.91421,HF,HF1,Fiber
UK,UK403,10 to 20,0,5.95,6.75,6.91,527.92035,325.0465,5802.64045,384.45155,3.250465,HF,HF1,Fiber
UK,UK404,0 to 10,0,6.15,6.94,6.98,534.64545,401.2643,5756.6856,487.56975,4.371315,HF,HF2,Soybean
UK,UK404,10 to 20,0,5.79,6.61,6.86,508.8659,316.0797,5567.26195,422.56045,4.70757,HF,HF2,Soybean
UK,UK405,0 to 10,0,5.97,6.77,6.92,508.8659,367.6388,5452.93525,439.3732,5.716335,CV,CV1,Corn
UK,UK405,10 to 20,0,5.7,6.53,6.83,501.01995,288.05845,5233.24865,366.51795,7.285525,CV,CV1,Corn
UK,UK406,0 to 10,0,6.16,6.95,6.98,505.50335,326.16735,6133.2912,469.63615,2.802125,HG,HG1,Grain Hemp
UK,UK406,10 to 20,0,5.94,6.75,6.98,490.9323,293.6627,5979.73475,419.1979,2.802125,HG,HG1,Grain Hemp
UK,UK501,0 to 10,0,6.16,6.95,6.99,525.67865,404.62685,5864.2872,477.4821,21.07198,HF,HF1,Fiber
UK,UK501,10 to 20,0,6.03,6.83,6.98,515.591,337.37585,5932.65905,423.6813,23.425765,HF,HF1,Fiber
UK,UK502,0 to 10,0,6.13,6.92,6.98,497.6574,420.31875,5969.6471,486.4489,11.096415,CV,CV2,Soybean
UK,UK502,10 to 20,0,5.82,6.64,6.92,483.08635,269.004,5421.55145,385.5724,11.544755,CV,CV2,Soybean
UK,UK503,0 to 10,0,6.14,6.93,6.99,467.39445,310.47545,5931.5382,464.0319,3.13838,HG,HG1,Grain Hemp
UK,UK503,10 to 20,0,5.76,6.58,6.91,461.7902,238.74105,5540.36155,386.69325,2.577955,HG,HG1,Grain Hemp
UK,UK504,0 to 10,0,6.23,7.01,7.03,499.8991,307.1129,5920.3297,479.7238,25.219125,CV,CV1,Corn
UK,UK504,10 to 20,0,5.99,6.79,7,490.9323,279.09165,5820.57405,400.14345,27.460825,CV,CV1,Corn
UK,UK505,0 to 10,0,6.21,6.99,7.03,477.4821,295.9044,5549.32835,449.46085,31.271715,HG,HG2,Corn
UK,UK505,10 to 20,0,5.8,6.62,6.91,455.0651,258.91635,5216.4359,371.00135,35.8672,HG,HG2,Corn
UK,UK506,0 to 10,0,6.13,6.92,7.02,442.73575,271.2457,5691.6763,472.9987,10.648075,HF,HF2,Soybean
UK,UK506,10 to 20,0,5.98,6.78,7.02,423.6813,255.5538,5450.69355,405.7477,10.872245,HF,HF2,Soybean
