group,Treatment,Site,combined,Year,Cashcrop,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha)
1UK104,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.1,6.89,7.02,597.41305,366.51795,6549.12655,554.82075,2.802125
1UK105,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.32,7.09,7.1,562.6667,394.5392,6908.9194,526.7995,4.147145
1UK106,Conventional,UK,ConventionalUK,1,Tobacco,6.08,6.87,7.02,586.20455,365.3971,6209.509,512.22845,2.69004
1UK201,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.07,6.86,7.01,549.2165,322.8048,6718.3749,464.0319,13.67437
1UK202,Conventional,UK,ConventionalUK,1,Tobacco,5.94,6.75,6.99,568.27095,365.3971,6410.14115,517.8327,4.819655
1UK203,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.13,6.92,7.04,597.41305,338.4967,6609.65245,485.32805,17.48526
1UK204,Conventional,UK,ConventionalUK,1,Tobacco,6.12,6.91,7.03,567.1501,346.34265,6259.94725,503.26165,30.150865
1UK205,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,5.96,6.76,6.89,544.7331,300.3878,6910.04025,467.39445,4.819655
1UK206,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,5.97,6.77,6.9,546.9748,309.3546,6166.9167,469.63615,11.88101
1UK301,Conventional,UK,ConventionalUK,1,Tobacco,5.98,6.78,6.89,549.2165,322.8048,6295.81445,442.73575,2.69004
1UK302,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,5.99,6.79,6.9,551.4582,321.68395,6366.428,427.04385,6.7251
1UK303,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.08,6.87,6.95,508.8659,276.84995,6216.2341,424.80215,2.353785
1UK304,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,5.95,6.75,6.86,576.1169,332.89245,6477.39215,469.63615,2.46587
1UK305,Conventional,UK,ConventionalUK,1,Tobacco,5.62,6.45,6.71,596.2922,330.65075,6134.41205,394.5392,6.164675
1UK306,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,5.87,6.68,6.82,558.1833,281.33335,6405.65775,431.52725,3.026295
1UK401,Conventional,UK,ConventionalUK,1,Tobacco,6.01,6.81,6.88,548.09565,419.1979,6128.8078,496.53655,3.250465
1UK402,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,5.96,6.76,6.9,540.2497,468.5153,6205.0256,476.36125,6.388845
1UK403,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.16,6.95,6.96,563.78755,329.5299,6138.89545,450.5817,2.91421
1UK404,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.15,6.94,6.98,534.64545,401.2643,5756.6856,487.56975,4.371315
1UK405,Conventional,UK,ConventionalUK,1,Tobacco,5.97,6.77,6.92,508.8659,367.6388,5452.93525,439.3732,5.716335
1UK406,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.16,6.95,6.98,505.50335,326.16735,6133.2912,469.63615,2.802125
1UK501,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.16,6.95,6.99,525.67865,404.62685,5864.2872,477.4821,21.07198
1UK502,Conventional,UK,ConventionalUK,1,Tobacco,6.13,6.92,6.98,497.6574,420.31875,5969.6471,486.4489,11.096415
1UK503,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.14,6.93,6.99,467.39445,310.47545,5931.5382,464.0319,3.13838
1UK504,Conventional,UK,ConventionalUK,1,Tobacco,6.23,7.01,7.03,499.8991,307.1129,5920.3297,479.7238,25.219125
1UK505,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,6.21,6.99,7.03,477.4821,295.9044,5549.32835,449.46085,31.271715
1UK506,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,6.13,6.92,7.02,442.73575,271.2457,5691.6763,472.9987,10.648075
