group,Treatment,Site,combined,Year,Cashcrop,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha),Rotation
1KS305,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.96,5.85,6.43,524.5578,238.74105,5928.17565,563.78755,1.56919,Grain 1
1KS306,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.92,5.82,6.43,550.33735,253.3121,6511.01765,613.10495,1.79336,Fiber 2
1KS401,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.9,5.8,6.65,410.2311,160.28155,3256.06925,319.44225,1.56919,Grain 1
1KS402,Conventional,KS,ConventionalKS,0,Organic,4.92,5.82,6.52,506.6242,236.49935,4106.7944,432.6481,2.129615,Conventional 2
1KS403,Conventional,KS,ConventionalKS,0,Organic,4.79,5.7,6.66,569.3918,198.39045,4009.28045,378.8473,1.34502,Conventional 1
1KS404,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.97,5.86,6.58,616.4675,258.91635,5575.1079,548.09565,2.129615,Grain 2
1KS405,Hemp Fiber,KS,Hemp FiberKS,0,Organic,5.01,5.9,6.61,580.6003,215.2032,5098.74665,495.4157,1.34502,Fiber 1
1KS406,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.98,5.87,6.62,563.78755,208.4781,5015.80375,504.3825,1.457105,Fiber 2
1KS501,Hemp Fiber,KS,Hemp FiberKS,0,Organic,4.89,5.79,6.58,512.22845,257.7955,4384.7652,425.923,1.79336,Fiber 2
1KS502,Conventional,KS,ConventionalKS,0,Organic,4.74,5.65,6.58,619.83005,261.15805,5114.43855,506.6242,1.34502,Conventional 1
1KS503,Hemp Grain,KS,Hemp GrainKS,0,Organic,4.95,5.84,6.51,608.62155,302.6295,6178.1252,569.3918,1.56919,Grain 1
1KS504,Conventional,KS,ConventionalKS,0,Organic,5.1,5.98,6.62,588.44625,258.91635,5850.837,562.6667,1.681275,Conventional 2
1KS505,Hemp Grain,KS,Hemp GrainKS,0,Organic,5.03,5.92,6.8,538.008,218.56575,4684.03215,433.76895,3.026295,Grain 2
1KS506,Hemp Fiber,KS,Hemp FiberKS,0,Organic,5.01,5.9,6.65,601.89645,251.0704,4973.21145,496.53655,1.79336,Fiber 1
1UK101,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.15,6.94,7.03,552.57905,281.33335,7232.84505,533.5246,2.69004,Fiber 2
1UK102,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,5.98,6.78,6.98,586.20455,254.43295,6433.679,506.6242,2.577955,Grain 2
1UK103,Conventional,UK,ConventionalUK,0,Tobacco,6.2,6.98,7.04,588.44625,407.9894,7550.0456,577.23775,3.13838,Conventional 2
1UK104,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.1,6.89,7.02,597.41305,366.51795,6549.12655,554.82075,2.802125,Fiber 1
1UK105,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.32,7.09,7.1,562.6667,394.5392,6908.9194,526.7995,4.147145,Grain 1
1UK106,Conventional,UK,ConventionalUK,0,Tobacco,6.08,6.87,7.02,586.20455,365.3971,6209.509,512.22845,2.69004,Conventional 1
1UK201,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.07,6.86,7.01,549.2165,322.8048,6718.3749,464.0319,13.67437,Grain 2
1UK202,Conventional,UK,ConventionalUK,0,Tobacco,5.94,6.75,6.99,568.27095,365.3971,6410.14115,517.8327,4.819655,Conventional 1
1UK203,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.13,6.92,7.04,597.41305,338.4967,6609.65245,485.32805,17.48526,Grain 1
1UK204,Conventional,UK,ConventionalUK,0,Tobacco,6.12,6.91,7.03,567.1501,346.34265,6259.94725,503.26165,30.150865,Conventional 2
1UK205,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,5.96,6.76,6.89,544.7331,300.3878,6910.04025,467.39445,4.819655,Fiber 2
1UK206,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,5.97,6.77,6.9,546.9748,309.3546,6166.9167,469.63615,11.88101,Fiber 1
1UK301,Conventional,UK,ConventionalUK,0,Tobacco,5.98,6.78,6.89,549.2165,322.8048,6295.81445,442.73575,2.69004,Conventional 1
1UK302,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,5.99,6.79,6.9,551.4582,321.68395,6366.428,427.04385,6.7251,Grain 1
1UK303,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.08,6.87,6.95,508.8659,276.84995,6216.2341,424.80215,2.353785,Fiber 2
1UK304,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,5.95,6.75,6.86,576.1169,332.89245,6477.39215,469.63615,2.46587,Grain 2
1UK305,Conventional,UK,ConventionalUK,0,Tobacco,5.62,6.45,6.71,596.2922,330.65075,6134.41205,394.5392,6.164675,Conventional 2
1UK306,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,5.87,6.68,6.82,558.1833,281.33335,6405.65775,431.52725,3.026295,Fiber 1
1UK401,Conventional,UK,ConventionalUK,0,Tobacco,6.01,6.81,6.88,548.09565,419.1979,6128.8078,496.53655,3.250465,Conventional 2
1UK402,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,5.96,6.76,6.9,540.2497,468.5153,6205.0256,476.36125,6.388845,Grain 2
1UK403,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.16,6.95,6.96,563.78755,329.5299,6138.89545,450.5817,2.91421,Fiber 1
1UK404,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.15,6.94,6.98,534.64545,401.2643,5756.6856,487.56975,4.371315,Fiber 2
1UK405,Conventional,UK,ConventionalUK,0,Tobacco,5.97,6.77,6.92,508.8659,367.6388,5452.93525,439.3732,5.716335,Conventional 1
1UK406,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.16,6.95,6.98,505.50335,326.16735,6133.2912,469.63615,2.802125,Grain 1
1UK501,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.16,6.95,6.99,525.67865,404.62685,5864.2872,477.4821,21.07198,Fiber 1
1UK502,Conventional,UK,ConventionalUK,0,Tobacco,6.13,6.92,6.98,497.6574,420.31875,5969.6471,486.4489,11.096415,Conventional 2
1UK503,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.14,6.93,6.99,467.39445,310.47545,5931.5382,464.0319,3.13838,Grain 1
1UK504,Conventional,UK,ConventionalUK,0,Tobacco,6.23,7.01,7.03,499.8991,307.1129,5920.3297,479.7238,25.219125,Conventional 1
1UK505,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,6.21,6.99,7.03,477.4821,295.9044,5549.32835,449.46085,31.271715,Grain 2
1UK506,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,6.13,6.92,7.02,442.73575,271.2457,5691.6763,472.9987,10.648075,Fiber 2
4KS101,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,5.18,6.05,6.43,513,201,5453,446,4,Fiber 1
4KS102,Hemp Grain,KS,Hemp GrainKS,3,Grain,5.55,6.39,6.66,489,216,5689,462,3,Grain 1
4KS103,Hemp Grain,KS,HempGrainKS,3,Corn,5.42,6.27,6.61,436,181,6038,469,3,Grain 2
4KS104,Conventional,KS,ConventionalKS,3,Corn,5.12,6,6.47,321,160,4655,403,2,Conventional 1
4KS105,Conventional,KS,ConventionalKS,3,Soybean,4.67,5.59,6.26,275,157,3896,384,2,Conventional 2
4KS106,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,5.08,5.96,6.46,278,160,4756,405,2,Fiber 2
4KS201,Conventional,KS,ConventionalKS,3,Soybean,5.16,6.04,6.49,420,205,5436,446,3,Conventional 2
4KS202,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,5.08,5.96,6.46,445,212,5223,472,3,Fiber 1
4KS203,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,5.34,6.2,6.54,462,172,5359,431,2,Fiber 2
4KS204,Hemp Grain,KS,Hemp GrainKS,3,Grain,5.03,5.92,6.47,429,189,4461,410,2,Grain 1
4KS205,Conventional,KS,ConventionalKS,3,Corn,4.73,5.64,6.34,429,166,4215,389,3,Conventional 1
4KS206,Hemp Grain,KS,Hemp GrainKS,3,Corn,5.12,6,6.45,504,189,5532,484,2,Grain 2
4KS301,Hemp Grain,KS,Hemp GrainKS,3,Corn,4.99,5.88,6.49,476,230,4041,293,5,Grain 2
4KS302,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,5.23,6.1,6.65,447,188,4473,440,3,Fiber 1
4KS303,Conventional,KS,ConventionalKS,3,Corn,5.15,6.03,6.54,493,165,4878,395,2,Conventional 1
4KS304,Conventional,KS,ConventionalKS,3,Soybean,5.1,5.98,6.56,526,182,4940,480,3,Conventional 2
4KS305,Hemp Grain,KS,Hemp GrainKS,3,Grain,4.83,5.74,6.41,452,196,5068,522,2,Grain 1
4KS306,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,4.9,5.8,6.41,436,162,5271,425,2,Fiber 2
4KS401,Hemp Grain,KS,Hemp GrainKS,3,Grain,5.24,6.11,6.63,410,203,4260,399,4,Grain 1
4KS402,Conventional,KS,ConventionalKS,3,Soybean,5.05,5.94,6.58,427,161,3815,359,3,Conventional 2
4KS403,Conventional,KS,ConventionalKS,3,Corn,5.17,6.04,6.62,519,185,4484,354,2,Conventional 1
4KS404,Hemp Grain,KS,Hemp GrainKS,3,Corn,5.31,6.17,6.51,567,214,5549,498,2,Grain 2
4KS405,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,5.27,6.14,6.52,518,205,5425,507,3,Fiber 1
4KS406,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,5.4,6.25,6.62,474,191,5308,463,2,Fiber 2
4KS501,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,5.25,6.12,6.56,436,177,4220,360,2,Fiber 2
4KS502,Conventional,KS,ConventionalKS,3,Corn,5.07,5.95,6.42,537,208,5184,451,3,Conventional 1
4KS503,Hemp Grain,KS,Hemp GrainKS,3,Grain,5.28,6.14,6.49,543,274,6528,552,3,Grain 1
4KS504,Conventional,KS,ConventionalKS,3,Soybean,5.46,6.31,6.59,498,191,5943,473,3,Conventional 2
4KS505,Hemp Grain,KS,Hemp GrainKS,3,Corn,5.51,6.35,6.65,483,204,5288,417,2,Grain 2
4KS506,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,5.37,6.23,6.59,517,216,5168,464,3,Fiber 1
4UK101,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,5.94,6.75,6.82,457,268,5901,517,4,Fiber 2
4UK102,Hemp Grain,UK,Hemp GrainUK,3,Corn,5.89,6.7,6.8,487,311,5860,526,4,Grain 2
4UK103,Conventional,UK,ConventionalUK,3,Soybean,6.09,6.88,6.94,530,335,6560,568,5,Conventional 2
4UK104,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,5.87,6.68,6.82,571,378,5730,526,4,Fiber 1
4UK105,Hemp Grain,UK,Hemp GrainUK,3,Grain,6.3,7.07,7.04,521,534,6527,545,6,Grain 1
4UK106,Conventional,UK,ConventionalUK,3,Corn,5.87,6.68,6.86,546,323,5335,503,4,Conventional 1
4UK201,Hemp Grain,UK,Hemp GrainUK,3,Corn,6.08,6.87,6.95,541,329,6275,526,18,Grain 2
4UK202,Conventional,UK,ConventionalUK,3,Corn,5.94,6.75,6.88,554,367,5418,524,6,Conventional 1
4UK203,Hemp Grain,UK,Hemp GrainUK,3,Grain,6.2,6.98,6.99,537,417,6148,517,17,Grain 1
4UK204,Conventional,UK,ConventionalUK,3,Soybean,5.9,6.71,6.86,557,335,5453,503,28,Conventional 2
4UK205,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,6.08,6.87,6.95,519,382,6333,567,7,Fiber 2
4UK206,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,6.05,6.85,6.95,463,284,5551,534,10,Fiber 1
4UK301,Conventional,UK,ConventionalUK,3,Corn,6.13,6.92,6.95,498,287,6115,537,4,Conventional 1
4UK302,Hemp Grain,UK,Hemp GrainUK,3,Grain,5.87,6.68,6.87,474,407,5752,521,9,Grain 1
4UK303,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,5.73,6.55,6.79,436,312,5272,473,4,Fiber 2
4UK304,Hemp Grain,UK,Hemp GrainUK,3,Corn,5.94,6.75,6.89,532,385,5603,519,4,Grain 2
4UK305,Conventional,UK,ConventionalUK,3,Soybean,5.99,6.79,6.91,489,371,5996,535,9,Conventional 2
4UK306,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,5.84,6.65,6.82,485,273,5558,492,4,Fiber 1
4UK401,Conventional,UK,ConventionalUK,3,Soybean,5.63,6.46,6.75,497,391,5225,490,4,Conventional 2
4UK402,Hemp Grain,UK,Hemp GrainUK,3,Corn,5.79,6.61,6.8,473,510,5391,502,9,Grain 2
4UK403,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,5.82,6.64,6.84,450,280,5337,473,5,Fiber 1
4UK404,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,5.67,6.5,6.74,497,380,5067,478,5,Fiber 2
4UK405,Conventional,UK,ConventionalUK,3,Corn,5.93,6.74,6.88,481,401,5383,497,10,Conventional 1
4UK406,Hemp Grain,UK,Hemp GrainUK,3,Grain,5.91,6.72,6.87,479,406,4915,459,3,Grain 1
4UK501,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,6.11,6.9,6.97,524,473,5719,553,23,Fiber 1
4UK502,Conventional,UK,ConventionalUK,3,Soybean,6.03,6.83,6.92,464,332,5471,490,17,Conventional 2
4UK503,Hemp Grain,UK,Hemp GrainUK,3,Grain,5.83,6.65,6.86,469,387,5108,479,4,Grain 1
4UK504,Conventional,UK,ConventionalUK,3,Corn,6.06,6.85,6.94,474,287,5204,483,18,Conventional 1
4UK505,Hemp Grain,UK,Hemp GrainUK,3,Corn,5.96,6.76,6.91,452,294,5191,473,35,Grain 2
4UK506,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,5.86,6.67,6.87,395,255,4944,443,9,Fiber 2
