group,Treatment,Site,combined,Year,Cashcrop,Timtest
1KS104,Conventional,KS,ConventionalKS,1,Organic,
1KS105,Conventional,KS,ConventionalKS,1,Organic,
1KS106,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS201,Conventional,KS,ConventionalKS,1,Organic,
1KS202,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS203,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS204,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS205,Conventional,KS,ConventionalKS,1,Organic,
1KS206,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS301,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS302,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS303,Conventional,KS,ConventionalKS,1,Organic,
1KS304,Conventional,KS,ConventionalKS,1,Organic,
1KS305,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS306,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS401,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS402,Conventional,KS,ConventionalKS,1,Organic,
1KS403,Conventional,KS,ConventionalKS,1,Organic,
1KS404,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS405,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS406,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS501,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1KS502,Conventional,KS,ConventionalKS,1,Organic,
1KS503,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS504,Conventional,KS,ConventionalKS,1,Organic,
1KS505,Hemp Grain,KS,Hemp GrainKS,1,Organic,
1KS506,Hemp Fiber,KS,Hemp FiberKS,1,Organic,
1UK101,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK102,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK103,Conventional,UK,ConventionalUK,1,Tobacco,
1UK104,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK105,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK106,Conventional,UK,ConventionalUK,1,Tobacco,
1UK201,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK202,Conventional,UK,ConventionalUK,1,Tobacco,
1UK203,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK204,Conventional,UK,ConventionalUK,1,Tobacco,
1UK205,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK206,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK301,Conventional,UK,ConventionalUK,1,Tobacco,
1UK302,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK303,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK304,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK305,Conventional,UK,ConventionalUK,1,Tobacco,
1UK306,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK401,Conventional,UK,ConventionalUK,1,Tobacco,
1UK402,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK403,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK404,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK405,Conventional,UK,ConventionalUK,1,Tobacco,
1UK406,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK501,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
1UK502,Conventional,UK,ConventionalUK,1,Tobacco,
1UK503,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK504,Conventional,UK,ConventionalUK,1,Tobacco,
1UK505,Hemp Grain,UK,Hemp GrainUK,1,Tobacco,
1UK506,Hemp Fiber,UK,Hemp FiberUK,1,Tobacco,
